filename, language, JavaScript, HTML, Markdown, JSON, Python, YAML, RAML, comment, blank, total
README.md, Markdown, 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
code-generator.js, JavaScript, 120, 0, 0, 0, 0, 0, 0, 0, 38, 158
code-generator.spec.js, JavaScript, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
index.html, HTML, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
info.js, JavaScript, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
package-lock.json, JSON, 0, 0, 0, 3245, 0, 0, 0, 0, 1, 3246
package.json, JSON, 0, 0, 0, 32, 0, 0, 0, 5, 0, 37
parse\file-parser.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
parse\openapi-parser.js, JavaScript, 187, 0, 0, 0, 0, 0, 0, 0, 50, 237
parse\openapi-parser.spec.js, JavaScript, 341, 0, 0, 0, 0, 0, 0, 0, 49, 390
parse\raml-parser.js, JavaScript, 207, 0, 0, 0, 0, 0, 0, 0, 57, 264
parse\raml-parser.spec.js, JavaScript, 317, 0, 0, 0, 0, 0, 0, 0, 35, 352
parse\write-templates.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 0, 14, 41
parse\write-templates.spec.js, JavaScript, 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
resources\apis\authorization-headers.yaml, YAML, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
resources\apis\broker-api\broker-api.raml, RAML, 0, 0, 0, 0, 0, 0, 122, 1, 4, 127
resources\apis\calendar-api\calendar-api.raml, RAML, 0, 0, 0, 0, 0, 0, 164, 1, 4, 169
resources\apis\calendar-api\includes\examples\calendar-create.json, JSON, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
resources\apis\calendar-api\includes\examples\calendar-not-found.json, JSON, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
resources\apis\calendar-api\includes\examples\calendar-update.json, JSON, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
resources\apis\calendar-api\includes\examples\calendar.json, JSON, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
resources\apis\calendar-api\includes\examples\calendars.json, JSON, 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
resources\apis\calendar-api\includes\properties\calendar.yaml, YAML, 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
resources\apis\calendar-api\includes\properties\calendars.yaml, YAML, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
resources\apis\context-api\context-api.raml, RAML, 0, 0, 0, 0, 0, 0, 63, 1, 2, 66
resources\apis\context-api\includes\examples\standards.json, JSON, 0, 0, 0, 62, 0, 0, 0, 0, 2, 64
resources\apis\context-api\includes\examples\subclasses.json, JSON, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
resources\apis\context-api\includes\properties\contexts.yaml, YAML, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
resources\apis\identity-api\identity-api.raml, RAML, 0, 0, 0, 0, 0, 0, 301, 1, 2, 304
resources\apis\identity-api\includes\examples\identity-create.json, JSON, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
resources\apis\identity-api\includes\examples\identity-not-found.json, JSON, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
resources\apis\identity-api\includes\examples\identity-update.json, JSON, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
resources\apis\identity-api\includes\examples\identity-without-links.json, JSON, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
resources\apis\identity-api\includes\examples\identity.json, JSON, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
resources\apis\identity-api\includes\examples\link-create.json, JSON, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
resources\apis\identity-api\includes\examples\link-not-found.json, JSON, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
resources\apis\identity-api\includes\examples\link.json, JSON, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
resources\apis\identity-api\includes\examples\links.json, JSON, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
resources\apis\identity-api\includes\properties\identity.yaml, YAML, 0, 0, 0, 0, 0, 53, 0, 0, 1, 54
resources\apis\identity-api\includes\properties\link.yaml, YAML, 0, 0, 0, 0, 0, 48, 0, 0, 1, 49
